LOC,CC,PC,label
3.0,1.0,1.0,2
70.0,7.0,1.0,2
17.0,4.0,2.0,1
6.0,2.0,1.0,2
3.0,1.0,0.0,2
3.0,1.0,0.0,2
8.0,2.0,1.0,1
29.0,9.0,1.0,1
6.0,2.0,1.0,2
17.0,3.0,1.0,2
11.0,4.0,0.0,1
7.0,1.0,5.0,1
3.0,1.0,3.0,1
6.0,2.0,0.0,2
16.0,5.0,1.0,2
3.0,1.0,1.0,2
4.0,1.0,0.0,1
13.0,2.0,1.0,2
4.0,1.0,2.0,1
3.0,1.0,0.0,2
29.0,2.0,0.0,2
9.0,1.0,0.0,2
5.0,1.0,1.0,2
14.0,3.0,0.0,1
15.0,2.0,1.0,1
10.0,1.0,0.0,1
9.0,1.0,0.0,2
39.0,5.0,0.0,2
15.0,3.0,1.0,2
9.0,2.0,1.0,1
14.0,3.0,1.0,2
3.0,1.0,1.0,1
68.0,14.0,0.0,2
13.0,2.0,1.0,1
12.0,3.0,3.0,1
3.0,1.0,3.0,1
8.0,2.0,4.0,2
3.0,1.0,0.0,2
3.0,1.0,0.0,1
5.0,2.0,2.0,1
16.0,1.0,0.0,1
35.0,6.0,3.0,2
3.0,1.0,1.0,2
13.0,2.0,1.0,2
8.0,1.0,0.0,1
47.0,8.0,1.0,1
10.0,3.0,1.0,2
3.0,1.0,2.0,2
6.0,1.0,0.0,1
33.0,8.0,6.0,2
8.0,1.0,0.0,1
46.0,8.0,0.0,1
59.0,6.0,0.0,1
5.0,2.0,0.0,1
12.0,3.0,1.0,2
15.0,3.0,1.0,1
6.0,2.0,1.0,1
3.0,1.0,1.0,2
8.0,1.0,0.0,1
27.0,3.0,1.0,2
6.0,1.0,1.0,1
4.0,1.0,0.0,1
94.0,19.0,0.0,1
25.0,2.0,1.0,2
3.0,1.0,1.0,2
21.0,3.0,2.0,2
3.0,1.0,2.0,1
3.0,1.0,1.0,1
6.0,2.0,0.0,2
9.0,1.0,0.0,2
39.0,2.0,0.0,1
56.0,15.0,0.0,2
2.0,1.0,1.0,2
8.0,1.0,0.0,1
16.0,4.0,4.0,2
8.0,1.0,0.0,1
20.0,3.0,5.0,1
4.0,1.0,0.0,1
36.0,6.0,1.0,1
3.0,1.0,0.0,2
3.0,1.0,0.0,2
6.0,1.0,0.0,2
3.0,1.0,1.0,2
3.0,1.0,1.0,2
3.0,1.0,1.0,1
20.0,3.0,0.0,2
38.0,6.0,3.0,1
8.0,2.0,1.0,2
3.0,1.0,0.0,2
19.0,3.0,2.0,2
3.0,1.0,0.0,2
3.0,1.0,0.0,2
12.0,3.0,2.0,1
4.0,1.0,3.0,2
26.0,6.0,1.0,1
30.0,4.0,3.0,2
11.0,3.0,4.0,1
41.0,4.0,1.0,1
27.0,9.0,2.0,1
3.0,1.0,0.0,2
3.0,1.0,0.0,2
91.0,12.0,0.0,1
42.0,6.0,3.0,1
31.0,9.0,1.0,2
9.0,1.0,0.0,1
3.0,1.0,1.0,2
26.0,8.0,0.0,1
55.0,8.0,5.0,1
3.0,1.0,1.0,2
30.0,4.0,2.0,1
13.0,2.0,2.0,1
3.0,1.0,1.0,2
3.0,1.0,0.0,2
26.0,8.0,1.0,1
36.0,11.0,0.0,1
9.0,2.0,0.0,2
3.0,1.0,1.0,2
